溪合二麻平 kua 誇
孃開二麻平 na 拏
見開二麻平 cea 嘉
匣開二麻平 hea 遐
滂二麻平 pa 葩
影開二麻平 ea 鴉
幫二麻平 ba 巴
初開二麻平 tra 叉
生開二麻平 sra 鯊
疑開二麻平 qea 牙
莊開二麻平 dra 樝
澄開二麻平 dhya 𡨀
邪開三麻平 szie 衺
常開三麻平 zhe 闍
影合二麻平 ua 窊
莊合二麻平 drua 髽
知合二麻平 dyua 檛
並二麻平 bha 爬
崇開二麻平 jra 楂
徹開二麻平 tya 侘
知開二麻平 dya 奓
曉開二麻平 xea 煆
溪開二麻平 kea 䶗
從開三麻平 dzie 㚗
日開三麻平 re 若
心開三麻平 sie 些
知開三麻平 dye 爹
疑合二麻平 qua 𣢉
以開三陽平 yang 陽
邪開三陽平 sziang 詳
來開三陽平 liang 良
曉開三陽平 xiang 香
書開三陽平 shang 商
並三陽平 fvang 房
章開三陽平 jang 章
昌開三陽平 chang 昌
溪開三陽平 kiang 羌
見開三陽平 ciang 薑
澄開三陽平 dhyang 長
知開三陽平 dyang 張
日開三陽平 rang 穰
幫三陽平 fang 方
心開三陽平 siang 襄
精開三陽平 ziang 將
初開三陽平 trang 創
明三陽平 vang 亡
孃開三陽平 niang 孃
崇開三陽平 jrang 牀
莊開三陽平 drang 莊
常開三陽平 zhang 常
生開三陽平 srang 霜
從開三陽平 dziang 牆
清開三陽平 tsiang 鏘
溪合三陽平 kuang 匡
云合三陽平 wang 王
影開三陽平 iang 央
羣開三陽平 giang 強
徹開三陽平 tyang 𦳝
滂三陽平 fang 芳
羣合三陽平 guang 狂
定開一唐平 dhang 唐
來開一唐平 lang 郎
端開一唐平 dang 當
清開一唐平 tsang 倉
見開一唐平 cang 岡
心開一唐平 sang 桑
溪開一唐平 kang 康
曉合一唐平 xuang 荒
匣合一唐平 huang 黃
見合一唐平 cuang 光
透開一唐平 tang 湯
滂一唐平 pang 滂
影合一唐平 uang 汪
影開一唐平 ang 鴦
曉開一唐平 xang 炕
匣開一唐平 hang 航
明一唐平 mang 茫
精開一唐平 zang 臧
泥開一唐平 nang 囊
並一唐平 bhang 傍
疑開一唐平 qang 卬
從開一唐平 dzang 藏
溪合一唐平 kuang 䯑
幫一唐平 bang 幫
見開二庚平 caeng 庚
溪開二庚平 kaeng 阬
明二庚平 maeng 盲
匣合二庚平 huaeng 橫
幫二庚平 baeng 閍
曉合二庚平 xuaeng 諻
見合二庚平 cuaeng 觵
並二庚平 bhaeng 彭
曉開二庚平 xaeng 脝
徹開二庚平 tyaeng 瞠
初開二庚平 traeng 鎗
崇開二庚平 jraeng 傖
影開三庚平 ieng 霙
滂二庚平 paeng 磅
並三庚平 bhieng 平
見開三庚平 cieng 驚
明三庚平 mieng 明
澄開二庚平 dhyaeng 棖
知開二庚平 dyaeng 趟
云合三庚平 yueng 榮
幫三庚平 bieng 兵
曉合三庚平 xiueng 兄
溪開三庚平 kieng 卿
生開三庚平 sraeng 生
羣開三庚平 gieng 擎
疑開三庚平 qieng 迎
匣開二庚平 haeng 行
孃開二庚平 naeng 鬤
見開二耕平 caeng 耕
溪開二耕平 kaeng 鏗
明二耕平 maeng 甍
幫二耕平 baeng 浜
匣合二耕平 huaeng 宏
匣開二耕平 haeng 莖
知開二耕平 dyaeng 朾
影開二耕平 aeng 甖
崇開二耕平 jraeng 崢
初開二耕平 traeng 琤
